camis,name,boro,cuisine,action,score,grade,rating,review_count,location.address1,coordinates.latitude,coordinates.longitude,ratings1
50045140,Auntie Guan's Kitchen 108,MANHATTAN,Chinese,violations,15,B,4,270,108 W 14th St,40.73772135,-73.99741485,****
41408069,Aureole,MANHATTAN,American,violations,12,A,4,772,135 W 42nd St,40.75558701,-73.98525316,****
40983620,Aurora,BROOKLYN,Italian,violations,5,A,4,485,70 Grand St,40.716054,-73.964771,****
41245538,Aurora Soho,MANHATTAN,Italian,violations,13,A,4,365,510 Broome St,40.723543,-74.003199,****
40389819,Austin House Restaurant,QUEENS,American,violations,13,A,3,89,7204 Austin St,40.719062,-73.842567,***
50009171,Austin Public,QUEENS,Irish,violations,13,A,3,225,70-28 Austin St,40.720382,-73.846054,***
40395087,Austin's Ale House,QUEENS,American,violations,27,B,3.5,393,8270 Austin St,40.709375,-73.830072,****
50064351,Austin's Ale House,QUEENS,Soul Food,violations,48,C,3.5,393,8270 Austin St,40.709375,-73.830072,****
50045839,Tacos Él Gallo Giro,QUEENS,Mexican,violations,28,C,4,30,75-10 Roosevelt Ave,40.74686503,-73.89001429,****
50063851,The Halal Guys,MANHATTAN,Hotdogs/Pretzels,violations,12,A,4.5,8750,W 53rd St 6th Ave,40.76175596,-73.97922993,*****
50035603,Authentic Szechuan,BROOKLYN,Chinese,reopened,9,A,3.5,57,384 5th Ave,40.67117532,-73.98489306,****
40385161,Automatic Slims,MANHATTAN,American,violations,13,A,3.5,86,733 Washington St,40.73632,-74.00817,****
50051879,Auttharos,QUEENS,Thai,violations,13,A,4,258,71-28 Roosevelt Ave,40.74635,-73.89383,****
50052004,Autumn Asian Restaurant,BROOKLYN,Other,violations,2,A,3.5,25,349 Flatbush Ave,40.677148,-73.9721409,****
41711477,Aux Epices,MANHATTAN,Asian,violations,9,A,4,259,121 Baxter St,40.71810736,-73.99910254,****
50018425,Aux Merveilleux De Fred,MANHATTAN,Bakery,violations,11,A,4.5,264,37 8th Ave,40.738362,-74.004134,*****
50044021,AVA Brew,BROOKLYN,CafÃ©/Coffee/Tea,violations,24,B,3,30,100 Willoughby St,40.69188,-73.98483,***
41679293,Ave Coffee House,QUEENS,American,violations,20,B,3.5,54,45-01 Greenpoint Ave,40.74246,-73.91912,****
41481734,Ave Coffee House,MANHATTAN,CafÃ©/Coffee/Tea,violations,2,A,3.5,54,45-01 Greenpoint Ave,40.74246,-73.91912,****
40400492,Barosa,QUEENS,Pizza,violations,9,A,4,277,62-29 Woodhaven Blvd,40.72615769,-73.86984505,****
50063441,Avena,MANHATTAN,Italian,closed,57,C,4.5,105,141 E 57th St,40.76099,-73.96863,*****
41596469,Avenita Diner,QUEENS,American,violations,16,B,3.5,154,83-23 Parsons Blvd,40.715001,-73.8072339,****
41412446,Avenue,MANHATTAN,American,violations,19,B,2.5,235,116 10th Ave,40.74408,-74.00639,***
40931915,Avenue Cafe,QUEENS,Greek,violations,7,A,3,258,35-27 30th Ave,40.76534,-73.91747,***
41393998,Avenue Diner,QUEENS,American,violations,12,A,3.5,38,91-06 Jamaica Ave,40.6929299,-73.85342,****
50054602,Avenue J Pizzeria,BROOKLYN,Pizza/Italian,violations,23,B,3,7,4102 Ave J,40.6274,-73.93632,***
50004130,Taci's Beyti,BROOKLYN,Jewish/Kosher,violations,2,A,4.5,552,1953 Coney Island Ave,40.609571,-73.96211,*****
50047656,Di Fara Pizza,BROOKLYN,Chinese,violations,12,A,4,2847,1424 Ave J,40.625093,-73.961531,****
50008938,Avenue X Pizza & Grill,BROOKLYN,Pizza/Italian,violations,17,B,2,43,2201 Ave X,40.59251022,-73.9484024,**
50046895,Avere Ristorante,BROOKLYN,Italian,violations,13,A,4,8,222 Duffield St,40.6915079,-73.9849649,****
50001791,Atlantic Beach Cafe Bagel & Deli,QUEENS,Jewish/Kosher,violations,27,B,3.5,20,1961 Park St,40.58913,-73.73387,****
41697028,Aviation Cafe,QUEENS,American,violations,35,C,4,27,1 Hotel Rd,40.69248496,-74.18181279,****
50051893,Avila Kitchen,BROOKLYN,Latin,violations,18,B,3.5,34,685 Manhattan Ave,40.72499084,-73.95179749,****
41683337,Avlee Greek Kitchen,BROOKLYN,Greek,violations,34,C,4,212,349 Smith St,40.679911,-73.994879,****
50046668,Avli The Little Greek Kafe,QUEENS,CafÃ©/Coffee/Tea,violations,8,A,4.5,35,38-29 Bell Blvd,40.7656718,-73.7718812,*****
41255592,Avli The Little Greek Tavern,QUEENS,Greek,violations,16,B,4,652,38-31 Bell Blvd,40.7656432,-73.7718683,****
50062618,Avocaderia,BROOKLYN,Sandwiches,violations,50,C,3.5,176,254 36th St,40.65602,-74.00742,****
50034597,Avocado Sushi,STATEN ISLAND,Japanese,violations,12,A,4.5,13,1919 Hylan Blvd,40.582986,-74.097047,*****
40734383,Avra Estiatorio,MANHATTAN,Greek,violations,9,A,4,734,141 E 48th St,40.75513,-73.97245,****
50049522,Avra Madison,MANHATTAN,Greek,violations,10,A,3.5,139,14 E 60th St,40.7644,-73.97166,****
50011024,Awadh,MANHATTAN,Indian,violations,22,B,3.5,247,2588 Broadway,40.79583,-73.970716,****
50059332,Awang Kitchen,QUEENS,Indonesian,violations,29,C,4.5,81,84-05 Queens Blvd,40.737338,-73.8792701,*****
41426727,Awash Ethiopian Restaurant,MANHATTAN,Ethiopian,violations,10,A,4,283,338 E 6th St,40.72647,-73.9869,****
41362418,Away Cafe Bar,QUEENS,American,violations,7,A,2.5,8,Terminal 5 Jfk International Airport,40.6546707,-73.7891083,***
50005104,Aya Sushi,MANHATTAN,Japanese,violations,17,B,4,224,314 W 39th St,40.755493,-73.992149,****
50044343,Ayada Thai,QUEENS,Thai,violations,10,A,4,921,7708 Woodside Ave,40.74336624,-73.88760376,****
41631065,Ayna Agra Indian Restaurant,QUEENS,Indian,violations,24,B,4,298,213-35 39th Ave,40.7655067,-73.7716797,****
40666541,Ayurveda Cafe,MANHATTAN,Indian,violations,22,B,4,267,706 Amsterdam Ave,40.79305,-73.97132,****
41254923,OCabanon,MANHATTAN,Mediterranean,violations,7,A,4,348,245 W 29th St,40.7486725,-73.9945145,****
40845101,Azalea Ristorante,MANHATTAN,Italian,violations,23,B,4,208,224 W 51st St,40.7621418,-73.9841952,****
50008955,Azasu,MANHATTAN,Japanese,violations,9,A,4,95,49 Clinton St,40.719758,-73.985011,****
50017844,Azerbaijan,BROOKLYN,Mediterranean,violations,11,A,3.5,23,2612 E 14th St,40.58754349,-73.95549011,****
